,task_uuid,level_number,chat,phrase,reference_type,valence,compound,features,notes
413,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,1,Great job get the pink circles they are worth a lot,Great job ,trajectory,positive,,,
413,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,1,Great job get the pink circles they are worth a lot,get the pink circles they are worth a lot,features,positive,,"circle, pink",
431,A2BA9Y6VGW6WS1:3C8HJ7UOP9I2S8CSVU9EVW8OVFKZME,7,Great job keep up the good work.,,trajectory,positive,,,
416,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,4,Great job that was the best route to take.  The darker the pink circle the more it is worth but u got multiple ones there so it was more worth then the right,Great job that was the best route to take.  ,trajectory,positive,,,
416,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,4,Great job that was the best route to take.  The darker the pink circle the more it is worth but u got multiple ones there so it was more worth then the right,The darker the pink circle the more it is worth ,features,positive,,"pink, circle",
416,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,4,Great job that was the best route to take.  The darker the pink circle the more it is worth but u got multiple ones there so it was more worth then the right,but u got multiple ones there so it was more worth then the right,trajectory,positive,,,
421,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,9,Great job you got the most points,,trajectory,positive,,,
31,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,9,great job!,,trajectory,positive,,,
313,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,5,Great job!,,trajectory,positive,,,
523,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,4,Great Job!,,trajectory,positive,,,
703,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,2,Great job!,,trajectory,positive,,,
707,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,6,Great job!,,trajectory,positive,,,
711,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,9,Great job!,,trajectory,positive,,,
712,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,10,Great job!,,trajectory,positive,,,
729,A2ZL7BZA7RRMIN:34X6J5FLPVM3D85G51D9OB43MXYQJV,4,Great job!,,trajectory,positive,,,
742,A314XJY8V1YL12:39O5D9O87VGOYTT8XYKROZYXM6IC3D,4,Great job!,,trajectory,positive,,,
748,A314XJY8V1YL12:39O5D9O87VGOYTT8XYKROZYXM6IC3D,10,Great job!,,trajectory,positive,,,
880,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,3,Great job!,,trajectory,positive,,,
882,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,5,Great job!,,trajectory,positive,,,
887,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,10,Great job!,,trajectory,positive,,,
999,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,1,Great job!,,trajectory,positive,,,
1005,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,7,great job!,,trajectory,positive,,,
1008,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,10,Great job!,,trajectory,positive,,,
400,A28HDBWFTOID89:3II4UPYCOLVQAM5OV5RYLD9QHD1QDH,1,Great job!,,trajectory,positive,,,
782,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,8,Great job! All of those were positives,Great job! ,trajectory,positive,,,
782,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,8,Great job! All of those were positives,All of those were positives,object_behavior,positive,,,
371,A260DMGSF8MAD7:32KTQ2V7RF3NMHUFRWFFI86VGQK9MP,6,Great job! Keep going like that!,Great job! ,trajectory,positive,,,
371,A260DMGSF8MAD7:32KTQ2V7RF3NMHUFRWFFI86VGQK9MP,6,Great job! Keep going like that!,Keep going like that!,trajectory,positive,,,
875,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,9,Great job! Now head to the upper right and upper left hand corners.,Great job! ,trajectory,positive,,,
875,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,9,Great job! Now head to the upper right and upper left hand corners.,Now head to the upper right and upper left hand corners.,object_spatial,positive,,,
870,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,4,Great job! Now look for the boxes in the lower left hand corner and lower right hand corner.,Great job! ,trajectory,positive,,,
870,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,4,Great job! Now look for the boxes in the lower left hand corner and lower right hand corner.,Now look for the boxes in the lower left hand corner and lower right hand corner.,object_spatial,positive,,,
246,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,5,Great job! You avoided the -5 and got the really decent paying ones. Thank you!,Great job! ,trajectory,positive,,,
246,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,5,Great job! You avoided the -5 and got the really decent paying ones. Thank you!,You avoided the -5 and got the really decent paying ones.,object_behavior,multiple,,,
246,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,5,Great job! You avoided the -5 and got the really decent paying ones. Thank you!,Thank you!,trajectory,positive,,,
806,A39XIQCFSCNHFU:39LNWE0K4WKZAQSR4SCEMBMSC3FIUG,6,Great Job!!,,trajectory,positive,,,
1198,ANVXAMUEBGV8N:3IAEQB9FMG8VUJ1A7EQ4D2RC5ZTDWP,10,Great job!!,,trajectory,positive,,,
106,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,8,great job.,,trajectory,positive,,,
1026,A4ZPIPBDO624H:39LNWE0K4WKZAQSR4SCEMBMSCOLUI4,10,"great job. Remember yellow is highest, with white close behind",great job. ,trajectory,positive,,,
1026,A4ZPIPBDO624H:39LNWE0K4WKZAQSR4SCEMBMSCOLUI4,10,"great job. Remember yellow is highest, with white close behind","Remember yellow is highest, with white close behind",features,positive,,"white, yellow",hard
1191,ANVXAMUEBGV8N:3IAEQB9FMG8VUJ1A7EQ4D2RC5ZTDWP,3,"Great job. The best shapes were in the bottom right corner, the two shapes in the ""middle"".",Great job. ,trajectory,positive,,,
1191,ANVXAMUEBGV8N:3IAEQB9FMG8VUJ1A7EQ4D2RC5ZTDWP,3,"Great job. The best shapes were in the bottom right corner, the two shapes in the ""middle"".","The best shapes were in the bottom right corner, the two shapes in the ""middle"".",object_spatial,positive,,,
469,A2E3SM3T01ENIR:3URFVVM1676L5GH14W00M6PI81SUZ6,3,great work,,trajectory,positive,,,
547,A2MQ6VUSKCQ9FH:32ZKVD547HB5OO12JYOWDFSF4LM3B1,4,Great work! That was the best one.,Great work! ,trajectory,positive,,,
547,A2MQ6VUSKCQ9FH:32ZKVD547HB5OO12JYOWDFSF4LM3B1,4,Great work! That was the best one.,That was the best one.,object_behavior,positive,,,
694,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,5,"great, circles positive squres negative",great,trajectory,positive,,,
694,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,5,"great, circles positive squres negative",circles positive ,features,positive,,circle,
694,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,5,"great, circles positive squres negative",squres negative,features,negative,,square,
1267,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,10,"great, white circles are decent yellow circles the best.",great,trajectory,positive,,,
1267,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,10,"great, white circles are decent yellow circles the best.",white circles are decent ,features,slight_positive,,"white, circle",
1267,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,10,"great, white circles are decent yellow circles the best.",yellow circles the best,features,positive,,"circle, yellow",
16,A12HZGOZQD5YK7:3HUTX6F6VWB0M0USJ3FD0PNM565O2F,5,great!,,trajectory,positive,,,
274,A1QX1RYLCFXZJ9:3HYA4D452T76GNHZK0WNDVE8D7C2F9,8,great!,,trajectory,positive,,,
709,A2XCEMBRPHIWEG:3EQHHY4HQUG4TKWHD343TNHWY9MG5W,7,Great!,,trajectory,positive,,,
881,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,4,Great!,,trajectory,positive,,,
698,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,9,Great!  same :),Great!  ,trajectory,positive,,,
698,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,9,Great!  same :),same :),trajectory,positive,,,
874,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,8,Great! Now head to the upper right hand corner.,Great! ,trajectory,positive,,,
874,A3EMLH3SAN97EO:3SB5N7Y3O5S5YDAGGXYRCSL5H1BG0B,8,Great! Now head to the upper right hand corner.,Now head to the upper right hand corner.,object_spatial,positive,,,
783,A31XNLA9REVGXL:33LKR6A5KG89A7H4WG1YPGJ4C841TT,9,Great! You wiped out our bonus.,,trajectory,negative,,,ahhaa sarcasm
653,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,2,"great. triangles are fine too, but worth nothing. just avoid the squares",great. ,trajectory,positive,,,
653,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,2,"great. triangles are fine too, but worth nothing. just avoid the squares","triangles are fine too, but worth nothing. ",features,zero,,triangle,
653,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,2,"great. triangles are fine too, but worth nothing. just avoid the squares",just avoid the squares,features,negative,,square,
1232,AYD2LKV6C5F2S:3S96KQ6I9OS322XGC9LTQIKD1HHDTT,1,hm. yellow ones were highest value that time,,features,,,yellow,
212,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,9,I am so glad you went with your gut that time. The bottom right was all negative numbers. One more round. You got this!,I am so glad you went with your gut that time,trajectory,positive,,,
212,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,9,I am so glad you went with your gut that time. The bottom right was all negative numbers. One more round. You got this!,The bottom right was all negative numbers,object_spatial,negative,,,
212,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,9,I am so glad you went with your gut that time. The bottom right was all negative numbers. One more round. You got this!,One more round,other,,,,
212,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,9,I am so glad you went with your gut that time. The bottom right was all negative numbers. One more round. You got this!,You got this!,other,,,,
256,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,10,I couldn't have done better myself. That was not only the safest place but also the highest paying area.,I couldn't have done better myself. ,trajectory,positive,,,
256,A1OKNQ2JEXW34Q:3Z4AIRP3C81GROQO1Q2VEJ4AP4SX18,10,I couldn't have done better myself. That was not only the safest place but also the highest paying area.,That was not only the safest place but also the highest paying area.,object_behavior,positive,,,
202,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,3,I guess it's hard to really tell what the best spot is. The bottom right and top left seemed to be the best the last few rounds.,I guess it's hard to really tell what the best spot is. ,other,,,,
202,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,3,I guess it's hard to really tell what the best spot is. The bottom right and top left seemed to be the best the last few rounds.,The bottom right and top left seemed to be the best the last few rounds.,object_spatial,positive,,,
200,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,1,"If you can see color, the green are the higher number.",If you can see color,other,,,,
200,A1O67YS3DU0ZHX:3OHYZ19UGETPR3PWWI8S676KH9JAOO,1,"If you can see color, the green are the higher number.",the green are the higher number,features,positive,,,
102,A15XIKX3PI7SLK:3GLB5JMZFZJZXXBAS9MMRZ5OBQSDG9,5,if you see a bunch of circles together it sometimes worth it to just grab those.,,features,positive,,circle,
978,A3U21PUMQ6NGT2:3R6P78PK7MZ6EM77EZM1W3NAEXMTGK,4,In the bottom left there are three 8s and two 0s.,,object_spatial,multiple,yes,,
55,A14W79OV7SNWIV:36TFCYNS46YRVZB23F5G66KH6TOXH7,4,in this round both bottom corners were good to get,,object_spatial,positive,,,
1086,AIPHJXQEDNW9L:3BV8HQ2ZZYPZ2XJSWMMYP7KTWUZ6AB,1,in upper right,,object_spatial,positive,,,
1172,AMX5R6NLYNA2K:35BLDD71I8LLIV619MA5ISR1MAXVZW,2,it changed.  The green is all positive for me,it changed,features,positive,,,
1172,AMX5R6NLYNA2K:35BLDD71I8LLIV619MA5ISR1MAXVZW,2,it changed.  The green is all positive for me,The green is all positive for me,features,positive,,,
355,A23BWWRR7J5XLS:3UXUOQ9OKGLI6XXXFWRQVLKPRKCA71,3,it is best to go with yellow and white,,features,positive,,"yellow, white",
1001,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,3,It looks like the positives are going in a circle.  Try that same corner next round.,Try that same corner next round.,trajectory,positive,,,
1001,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,3,It looks like the positives are going in a circle.  Try that same corner next round.,It looks like the positives are going in a circle.,other,,,,
574,A2N8FYNKM133KF:3KRVW3HTZP95RWQE02F6Z3BL8F6SMI,6,its ok,,trajectory,slight_positive,,,
427,A2BA9Y6VGW6WS1:3C8HJ7UOP9I2S8CSVU9EVW8OVFKZME,3,Keep heading for the green,,trajectory,positive,,,
23,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,1,keep it up,,trajectory,positive,,,
25,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,3,keep it up,,trajectory,positive,,,
28,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,6,keep it up,,trajectory,positive,,,
832,A3BHRFFG75X3GO:3LEIZ60CDLNNLOTY6L59QA24VIB9ZR,5,keep it up those were the best points.,,trajectory,positive,,,
152,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,9,keep it up!,,trajectory,positive,,,
843,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,4,Keep it up!,,trajectory,positive,,,
514,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,6,Keep up the good work!,,trajectory,positive,,,
529,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,10,Last one keep it up.,,trajectory,positive,,,
1036,A6MWJK1YEY5L2:3HMIGG0U4NUN2T0J57XCC7YR5VKY8L,3,last one you grabbed was -4,,object_behavior,negative,,,
661,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,10,last round I guess. great job!,last round I guess. ,other,,,,
661,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,10,last round I guess. great job!,great job!,trajectory,positive,,,
222,A1OIXGF4N7O93T:3UJ1CZ6IZJD7JP5883YKI10ZMJLS5V,3,left,,object_spatial,positive,,,
193,A1E2629EE0I958:3WRFBPLXRCC7PXQZMOT54AS9LPLN3P,6,lets go,,trajectory,slight_negative,,,
524,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,5,Lighter pinks are next highest worth after the bright pink.,,features,positive,,pink,
310,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,2,Looks good.,,trajectory,positive,,,
859,A3DZ46U9XRLVBI:3U4J9857OGZNP72PLARMQW4V9N67B8,5,Looks like pure white circles are worth 5,,features,positive,,"white, circle",
341,A22LZ62E0UC4VL:3OE22WJIGKCCROGAH0HNVDDE301QU6,4,Looks like you've got it.,,trajectory,positive,,,
410,A28HDBWFTOID89:3II4UPYCOLVQAM5OV5RYLD9QHD1QDH,9,Love it! Keep going :-),Love it!,trajectory,positive,,,
410,A28HDBWFTOID89:3II4UPYCOLVQAM5OV5RYLD9QHD1QDH,9,Love it! Keep going :-),Keep going :-),trajectory,positive,,,
578,A2N8FYNKM133KF:3KRVW3HTZP95RWQE02F6Z3BL8F6SMI,10,love you very good job thank you.,,trajectory,positive,,,
161,A18XFOKU5G1OL1:3X3OR7WPZ1O32UTKMS8MIZWVWGHL8H,4,low,,trajectory,negative,,,
162,A18XFOKU5G1OL1:3X3OR7WPZ1O32UTKMS8MIZWVWGHL8H,5,low,,trajectory,negative,,,
165,A18XFOKU5G1OL1:3X3OR7WPZ1O32UTKMS8MIZWVWGHL8H,7,low,,trajectory,negative,,,
1260,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,4,lower left,,object_spatial,positive,,,
1266,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,9,lower left was a little better.,,object_spatial,positive,,,
1089,AIPHJXQEDNW9L:3BV8HQ2ZZYPZ2XJSWMMYP7KTWUZ6AB,2,lower right,,object_spatial,positive,,,
1165,AMA18W8F60Y2J:326O153BMKM1DJFJMEWYRWKCYVKDE5,8,lower right,,object_spatial,positive,,,
1258,AZNIEFUIVB2H0:3IO1LGZLKBLLJ9QDZO2KTGEY66Z687,2,lower right,,object_spatial,positive,,,
356,A23BWWRR7J5XLS:3UXUOQ9OKGLI6XXXFWRQVLKPRKCA71,4,much better,,trajectory,positive,,,
1007,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,9,Next time grab the bigger numbers first and smaller numbers after.  Green is bigger.,Next time grab the bigger numbers first and smaller numbers after.  ,trajectory,slight_negative,,,
1007,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,9,Next time grab the bigger numbers first and smaller numbers after.  Green is bigger.,Green is bigger.,features,positive,,,
314,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,6,Next time try the blue ones. Good job.,Next time try the blue ones,features,positive,,blue,
314,A21P1T8EW4NHOU:3STRJBFXOYFBG83Q4Q7GUVF3LTPKTU,6,Next time try the blue ones. Good job.,Good job,trajectory,positive,,,
9,A10AVWALIHR4UQ:3Z7EFSHGNB20ER0MHNRFVFN1TGCCX0,9,nice,,trajectory,positive,,,
27,A12OZ7P7Z41SJI:3LEP4MGT3IO36G3ZCNU8QOERVD0DBS,5,nice,,trajectory,positive,,,
146,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,6,nice,,trajectory,positive,,,
305,A1ZD8RU6YB0VEU:3NLZY2D53RD98YTG8MPM4QHVQMVQLP,9,Nice,,trajectory,positive,,,
384,A26Y58YECZUZZG:32N49TQG3I6KHNYTXUU61Z0SD2VVAQ,7,Nice,,trajectory,positive,,,
386,A26Y58YECZUZZG:32N49TQG3I6KHNYTXUU61Z0SD2VVAQ,9,Nice,,trajectory,positive,,,
432,A2BA9Y6VGW6WS1:3C8HJ7UOP9I2S8CSVU9EVW8OVFKZME,8,Nice,,trajectory,positive,,,
515,A2HGRSPR50ENHL:3LRKMWOKB75CL48ZLCQUGNUQPA7Z2R,7,nice,,trajectory,positive,,,
655,A2T5CROJ0FWIJY:3JMSRU9HQKIN70F5DZWSXIQJY4LVEN,4,nice,,trajectory,positive,,,
957,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,7,nice,,trajectory,positive,,,
959,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,9,nice,,trajectory,positive,,,
1179,AMX5R6NLYNA2K:35BLDD71I8LLIV619MA5ISR1MAXVZW,6,nice,,trajectory,positive,,,
1182,AMX5R6NLYNA2K:35BLDD71I8LLIV619MA5ISR1MAXVZW,8,nice,,trajectory,positive,,,
272,A1QX1RYLCFXZJ9:3HYA4D452T76GNHZK0WNDVE8D7C2F9,7,nice job,,trajectory,positive,,,
804,A39XIQCFSCNHFU:39LNWE0K4WKZAQSR4SCEMBMSC3FIUG,5,nice job,,trajectory,positive,,,
415,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,3,Nice job stay away from the squares they seem to all be negatives,Nice job,trajectory,positive,,,
415,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,3,Nice job stay away from the squares they seem to all be negatives,stay away from the squares they seem to all be negatives,features,negative,,square,
420,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,8,Nice job you got the most points there.,,trajectory,positive,,,
8,A10AVWALIHR4UQ:3Z7EFSHGNB20ER0MHNRFVFN1TGCCX0,8,nice try,,trajectory,positive,,,
187,A1E2629EE0I958:3WRFBPLXRCC7PXQZMOT54AS9LPLN3P,2,nice try,,trajectory,positive,,,
6,A10AVWALIHR4UQ:3Z7EFSHGNB20ER0MHNRFVFN1TGCCX0,6,nice work,,trajectory,positive,,,
581,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,1,nice work,,trajectory,positive,,,
589,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,8,nice work,,trajectory,positive,,,
526,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,7,Nice work blue circles are worth 1 or 2.,Nice work ,trajectory,positive,,,
526,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,7,Nice work blue circles are worth 1 or 2.,blue circles are worth 1 or 2.,features,slight_positive,,"blue, circle",
582,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,2,nice work keep it up,,trajectory,positive,,,
583,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,3,nice work keep it up,,trajectory,positive,,,
584,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,4,nice work keep it up,,trajectory,positive,,,
586,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,5,nice work keep it up,,trajectory,positive,,,
587,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,6,nice work keep it up,,trajectory,positive,,,
588,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,7,nice work keep it up,,trajectory,positive,,,
590,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,9,nice work keep it up,,trajectory,positive,,,
591,A2OC4PZXSR522W:386CSBG1O1ARPDQ9LIJKF7ZY0REQ6P,10,nice work keep it up,,trajectory,positive,,,
733,A2ZL7BZA7RRMIN:34X6J5FLPVM3D85G51D9OB43MXYQJV,8,Nice work!,,trajectory,positive,,,
693,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,4,"nice, cirlcles were positive again.  and pink ",nice,trajectory,positive,,,
693,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,4,"nice, cirlcles were positive again.  and pink ",cirlcles were positive again,features,positive,,circle,
693,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,4,"nice, cirlcles were positive again.  and pink ",and pink,features,positive,,pink,
298,A1ZD8RU6YB0VEU:3NLZY2D53RD98YTG8MPM4QHVQMVQLP,2,"Nice, looks like white is 5ish points, or 0",Nice,trajectory,positive,,,
298,A1ZD8RU6YB0VEU:3NLZY2D53RD98YTG8MPM4QHVQMVQLP,2,"Nice, looks like white is 5ish points, or 0","looks like white is 5ish points, or 0",features,positive,,white,
697,A2UYZFH5VT5R3H:3N1FSUEFL7OJLHIQX8KLIA8LLLJD4M,8,"nice, stays the same.",,trajectory,positive,,,
301,A1ZD8RU6YB0VEU:3NLZY2D53RD98YTG8MPM4QHVQMVQLP,5,"Nice, white still safe, but possible -5 now it looks like",Nice,trajectory,positive,,,
301,A1ZD8RU6YB0VEU:3NLZY2D53RD98YTG8MPM4QHVQMVQLP,5,"Nice, white still safe, but possible -5 now it looks like","white still safe, but possible -5 now it looks like",features,multiple,yes,white,
343,A22LZ62E0UC4VL:3OE22WJIGKCCROGAH0HNVDDE301QU6,5,Nice!,,trajectory,positive,,,
350,A22LZ62E0UC4VL:3OE22WJIGKCCROGAH0HNVDDE301QU6,10,Nice!,,trajectory,positive,,,
528,A2HOUSKURBF8UA:37XITHEISYXGHVEA8OLN6X1DSWICRP,9,Nice!,,trajectory,positive,,,
747,A314XJY8V1YL12:39O5D9O87VGOYTT8XYKROZYXM6IC3D,9,Nice!,,trajectory,positive,,,
820,A3BFMY5OX2WMUW:3OCHAWUVGQ8IXPCA908DJY09YPDKXD,4,Nice!,,trajectory,positive,,,
878,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,1,Nice!,,trajectory,positive,,,
1003,A3V57BKH58EUIY:3JNQLM5FT6ASGFRV6BZL88JSAGHL26,5,NICE!,,trajectory,positive,,,
793,A34SUZWGLXIWM8:3TGOYF991ZA4JHNRY91S5EA36YUUUS,8,Nice! I'm pretty sure that was the most you could have gotten,Nice! ,trajectory,positive,,,
793,A34SUZWGLXIWM8:3TGOYF991ZA4JHNRY91S5EA36YUUUS,8,Nice! I'm pretty sure that was the most you could have gotten,I'm pretty sure that was the most you could have gotten,trajectory,positive,,,
885,A3GIIL73GE2CBQ:3M0NZ3JDP3M4K1RM3VSSEUX29KUZ5O,8,Nice.,,trajectory,positive,,,
1012,A4ZPIPBDO624H:39LNWE0K4WKZAQSR4SCEMBMSCOLUI4,1,no,,trajectory,negative,,,
954,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,4,no way,,trajectory,negative,,,
281,A1VZSFHTU51JP0:3R8YZBNQ9J6ATD4E4SOCLLZUV2QQ7G,1,no yellow maybe,,features,slight_negative,,yellow,
148,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,7,"no, only circles",no,trajectory,negative,,,
148,A17AF9I56P3RVV:3EWIJTFFVQV7EZEPA283CP0T4JN0E1,7,"no, only circles",only circles,features,positive,,circle,
952,A3LXD82BMSRT2F:3MRNMEIQW7UFJPPB30J24RAW77EDLF,2,noob player,,trajectory,negative,,,
721,A2ZBDSR2LZNVAE:3UXUOQ9OKGLI6XXXFWRQVLKPR7HA7G,7,not a bad choice - a lot of these had low or negative points,,trajectory,slight_positive,,,
419,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,7,Not bad but getting three of the lighter circles on the right would have gotten you 14,Not bad ,trajectory,slight_positive,,,
419,A28J7H4TH29DC3:3X31TUMD7ZALRU9ZN7Z73P9NIABL1X,7,Not bad but getting three of the lighter circles on the right would have gotten you 14,but getting three of the lighter circles on the right would have gotten you 14,features,positive,,circle,
411,A28HDBWFTOID89:3II4UPYCOLVQAM5OV5RYLD9QHD1QDH,10,Not bad!,,trajectory,slight_positive,,,
845,A3C0LPVN749UF3:3KOPY89HMAQB67ZE7Q1DB3BSC2VJ3Q,6,Not bad!,,trajectory,slight_positive,,,
326,A22KRF782ELLB0:3FTOP5WARHCFPF0HO3JU95DL9FEJ0C,5,Not bad. There was a good field in the bottom right. Try another top,Not bad. ,trajectory,slight_positive,,,
